ID,Tier,Variant,Utterance,Tests,Expected_Components,Expected_Utilities,Expected_Icons,Key_Validation_Points,Success_Criteria,Accessibility_Requirements,Common_Failure_Modes,Complexity
C01,Tier 1,Simple,Create a primary button with a save icon,"Button, icon",lightning-button,,utility:save,"Button brand color, icon visible","Button renders with brand styling, icon present",Keyboard accessible,"Icon missing, wrong variant",Simple
C01,Tier 1,Moderate,"Create a primary action button with a ""save"" icon on the left and text ""Save Changes""","Button, icon positioning, accessibility",lightning-button OR slds-button + slds-button_brand,,utility:save,"Icon left side, button 48px height, brand blue","Button uses brand class, icon left-positioned, accessible label","Button has text or aria-label, Enter/Space activatable","Icon wrong side, missing label, wrong variant",Simple
C01,Tier 1,Detailed,"Create a primary action button with save icon positioned on the left with proper spacing from the text ""Save Changes"". Use SLDS brand button styling with appropriate sizing from the design system. Ensure proper hover and focus states using SLDS styling hooks for interactive elements. The icon should use the standard icon size for buttons and maintain proper spacing using SLDS spacing utilities",Complete button specification,lightning-button OR custom,,utility:save,"Icon standard size from SLDS, gap standard size from SLDS, height standard size from SLDS, padding standard size from SLDS, brand-base-2 bg, hover brand-base-3, focus standard size from SLDS ring standard size from SLDS offset","Height standard size from SLDS, padding standard size from SLDS, icon standard size from SLDS with standard size from SLDS gap, uses not hex, hover/focus states","Enter/Space activatable, focus visible 3:1 contrast, announces ""Save Changes button""","Icon not 16px, gap wrong, height wrong, hardcoded colors, no states",Simple
C02,Tier 1,Simple,"Create form: name, email, message. Show errors for empty fields","Form, validation, errors",lightning-input (3),slds-has-error,,Errors appear when empty,"Form has 3 fields, errors show when empty",Fields have labels,"No errors, missing labels",Simple
C02,Tier 1,Moderate,"Create contact form: name (text), email (format validation), message (textarea min 10 chars). Show errors below fields in red with 16px error icon","Form types, email validation, error styling","lightning-input (name, email), lightning-textarea","slds-form_stacked, slds-has-error, slds-form-element__help",utility:error,"Errors below fields, red text, 16px icon","Email validates format, message min 10 chars, errors use slds-has-error, error","Each field labeled, aria-invalid on invalid, aria-describedby to error","Email validation wrong, errors not below, aria missing",Simple
C02,Tier 1,Detailed,"Create a comprehensive contact form with name field (required, maximum 100 characters, letters and spaces only), email field (required with proper email validation), and message field (required, minimum 10 characters, maximum 500 characters, with visible rows and character counter showing current and max). Use stacked form layout with proper spacing from SLDS spacing scale between fields. Display validation errors on blur or form submit below each field using SLDS error styling with error icon from utility icons. Add a submit button using brand styling at full width with appropriate button sizing from the design system",Complete form specification,"lightning-input (with maxlength/pattern), lightning-textarea (with maxlength), counter, button","slds-form_stacked, slds-has-error, slds-m-bottom_medium, slds-button_brand",utility:error,"Fields standard size from SLDS spacing, name pattern letters/spaces, email RFC 5322, message 4 rows with ""450/500"" counter, errors on blur/submit, red , standard size from SLDS icon standard size from SLDS gap, Submit 100% width standard size from SLDS","Name maxlength=100 pattern=""[A-Za-z\s]+"", email RFC 5322 pattern, textarea minlength=10 maxlength=500 rows=4, counter updates, spacing standard size from SLDS, validation on blur/submit, error color or hook, icon standard size from SLDS gap standard size from SLDS, button 100% × standard size from SLDS","Labels with for attribute, aria-required on required, aria-invalid dynamic, aria-describedby to error IDs, counter aria-live=""polite""","Pattern allows numbers, email regex wrong, counter not updating, validation on change, spacing wrong, hardcoded color, Submit not full width",Simple
C03,Tier 1,Simple,"Create sortable table: Product Name, Price, Category, Stock Status","Table, sorting",lightning-datatable,slds-table,"utility:arrowup, utility:arrowdown","Table 4 columns, sortable","Table shows 4 columns, clicking headers sorts",Table has proper roles,"Columns missing, sorting broken",Simple
C03,Tier 1,Moderate,"Create sortable table: Product Name (text, sortable, left), Price (currency $X.XX, sortable, right), Category (text, center), Stock Status (badge: In Stock=green, Low Stock=orange, Out of Stock=red). 5 sample products","Table formatting, badges, alignment",lightning-datatable with column config,"slds-table, slds-badge","utility:arrowup, utility:arrowdown","Name left, Price right as currency, Status colored badges, sort arrows on Name/Price","Datatable 4 columns, Name/Price sortable, Price type: currency, Status custom cell renderer, 5 products, alignments correct","Table role=""table"", sortable headers aria-sort, keyboard arrows navigate","Price not currency, badges wrong colors, only 1 sortable, aria-sort missing",Simple
C03,Tier 1,Detailed,"Create a fully responsive sortable data table with Product Name column (left-aligned, sortable, using appropriate column width from SLDS sizing), Price column (right-aligned, currency format, sortable, appropriate width), Category column (center-aligned with neutral badge, appropriate width), and Stock Status column (center-aligned with semantic badges - In Stock uses success colors, Low Stock uses warning colors, Out of Stock uses error colors, appropriate width). Include 10 sample products. Use SLDS table styling with proper border utilities and fixed layout classes. Header rows and data rows should use standard SLDS table sizing. On mobile viewports, use SLDS responsive table stacking to show as cards with field labels",Complete table specification,lightning-datatable OR custom responsive table,"slds-table, slds-table_bordered, slds-table_fixed-layout, slds-table_stacked, slds-badge","utility:arrowup, utility:arrowdown","Widths 30-15-25-30%, alignments correct, Price $X.XX, Status exact colors //, header standard size from SLDS rows standard size from SLDS borders standard size from SLDS , mobile stacks with labels","Columns 30-15-25-30%, Name/Price sortable aria-sort, Price currency format, Status badges hex colors, 10 products, header standard size from SLDS rows standard size from SLDS, borders standard size from SLDS , slds-table_stacked @media <standard dimensions from SLDS with labels","Table role=""table"", th role=""columnheader"", td role=""cell"", aria-sort on sortable, keyboard Enter/Space sort, mobile maintains accessibility","Widths wrong, alignment off, Price no $, badges hardcoded/wrong colors, heights wrong, mobile not stacking, aria-sort missing",Simple
C04,Tier 1,Simple,Create delete confirmation modal with Cancel and Delete buttons,"Modal, buttons","Modal container, 2 buttons",slds-modal,,Modal shows with buttons,Modal displays with Cancel and Delete buttons,"Modal focusable, closable","Buttons missing, not closing",Simple
